id,prompt
tandem-stance,"【運動】タンデム立位 / 継ぎ足（Tandem Stance）
立った状態。片足のつま先にもう片足の踵をつけて一直線に立っている。
片手を壁に軽く添えている。視線は正面のやや下。
視点: 正面やや斜めから。足の配置（一直線）が分かるように。
赤い矢印: なし（静的保持のため、足の一直線配置を点線で強調）。"
step-up,"【運動】ステップ運動 / 踏み台昇降（Step-Up）
低い踏み台（青色、高さ約15cm）の前に立っている。
片脚を踏み台に乗せて、体を持ち上げている瞬間。
片手を壁や手すりに添えている。
視点: 横から（側面図）。踏み台の高さと脚の動きが分かるように。
赤い矢印: 体が上方向に持ち上がる方向を示す。"
hamstring-stretch,"【運動】ハムストリングスストレッチ（Hamstring Stretch）
椅子に浅く座った状態。片脚を前方にまっすぐ伸ばし、踵を床につけている。
つま先を天井に向け、背筋を伸ばしたまま上体を前方に倒している瞬間。
伸ばしている脚の太もも裏が伸びている様子が分かるように。
視点: 横から（側面図）。
赤い矢印: 上体が前方に倒れる方向を示す。
椅子はシンプルなパイプ椅子。"
quad-stretch,"【運動】大腿四頭筋ストレッチ（Quadriceps Stretch）
立った状態。片手で壁に手を添えて体を支えている。
反対の手で同側の足首を持ち、踵をお尻に引き寄せている瞬間。
膝は閉じたまま、体はまっすぐ。
視点: 横から（側面図）。太もも前面が伸びている様子が分かるように。
赤い矢印: 踵がお尻に向かう方向を示す。"
calf-stretch,"【運動】下腿三頭筋ストレッチ（Calf Stretch）
壁に両手をついて立っている。片脚を後方に大きく引いている。
後ろ脚の膝はまっすぐ伸ばし、踵を床につけたまま。前脚の膝は軽く曲げている。
体は壁に向かって前傾。
視点: 横から（側面図）。ふくらはぎが伸びている様子が分かるように。
赤い矢印: 体が壁に向かって前方に押す方向を示す。"
hip-flexor-stretch,"【運動】股関節屈筋ストレッチ（Hip Flexor Stretch）
片膝立ちの状態。前脚の膝は約90度、後ろ脚の膝を床につけている。
後ろ脚の膝の下に青いタオルを敷いている。
背筋をまっすぐ伸ばし、重心を前方にゆっくり移動している瞬間。
視点: 横から（側面図）。股関節前面が伸びている様子が分かるように。
赤い矢印: 腰が前方に移動する方向を示す。"
piriformis-stretch,"【運動】梨状筋ストレッチ（Piriformis Stretch）
椅子に座った状態。片方の足首を反対の膝の上に乗せている（4の字の姿勢）。
背筋を伸ばしたまま上体を前方にゆっくり倒している瞬間。
視点: 斜め前方から。4の字の脚の形と前傾の動きが分かるように。
赤い矢印: 上体が前方に倒れる方向を示す。
椅子はシンプルなパイプ椅子。"
itb-stretch,"【運動】腸脛靭帯ストレッチ（IT Band Stretch）
立った状態。壁に片手を添えている。
ストレッチ側の脚を反対の脚の後ろに交差させ、壁と反対方向に腰を押し出している瞬間。
体は横方向にC字カーブを描いている。
視点: 正面から。体の側屈と脚の交差が分かるように。
赤い矢印: 腰が横方向に押し出される方向を示す。"
shoulder-flexion-stretch,"【運動】肩関節屈曲ストレッチ（Shoulder Flexion Stretch）
立った状態。壁に向かって片手を壁の高い位置につけている。
体を前方に沈めて肩前面を伸ばしている瞬間。
視点: 横から（側面図）。肩関節の伸張が分かるように。
赤い矢印: 体が前方・下方に沈む方向を示す。"
shoulder-er-stretch,"【運動】肩関節外旋ストレッチ（Shoulder External Rotation Stretch）
ドア枠や壁の角に立っている。肘を90度に曲げて前腕を壁につけている。
体を壁と反対方向にゆっくり回旋して肩前面を伸ばしている瞬間。
視点: 上方から（俯瞰気味）。回旋の動きが分かるように。
赤い矢印: 体が回旋する方向を示す。"
shoulder-ha-stretch,"【運動】肩関節水平内転ストレッチ（Shoulder Horizontal Adduction Stretch）
立った状態。片腕を胸の前で水平に伸ばし、反対の手で肘のあたりを抱えて体に引き寄せている瞬間。
視点: 正面から。腕が胸の前を横切る動きが分かるように。
赤い矢印: 腕が体に向かって引き寄せられる方向を示す。"
chest-stretch,"【運動】胸郭ストレッチ（Chest Stretch）
ドア枠に立っている。両腕を左右のドア枠に肘を90度にして当てている。
体を前方に一歩踏み出して胸を開いている瞬間。
視点: 正面やや上から。胸が開いている様子が分かるように。
赤い矢印: 体が前方に進む方向を示す。"
neck-lateral-stretch,"【運動】頸部側屈ストレッチ（Neck Lateral Flexion Stretch）
椅子に座った状態。背筋を伸ばしている。
片手で頭の反対側を軽く押さえ、頭を横に倒している瞬間。
反対の手は椅子の座面を掴んで肩を固定している。
視点: 正面から。頸部の側屈が分かるように。
赤い矢印: 頭が横に倒れる方向を示す。"
neck-rotation-stretch,"【運動】頸部回旋ストレッチ（Neck Rotation Stretch）
椅子に座った状態。背筋を伸ばしている。
頭をゆっくり横に回旋している瞬間。片手を顎に軽く添えている。
視点: 上方やや前方から。回旋の動きが分かるように。
赤い矢印: 頭が回旋する方向を示す（弧を描く矢印）。"
cat-stretch,"【運動】背部ストレッチ / キャットストレッチ（Cat Stretch）
四つ這いの状態。背中を天井に向かって丸めている瞬間（猫が怒ったような姿勢）。
頭は下を向き、おへそを覗き込むように。
視点: 横から（側面図）。背中の丸みが明確に分かるように。
赤い矢印: 背中が上方向に丸まる方向を示す。"
lateral-trunk-stretch,"【運動】体側ストレッチ（Lateral Trunk Stretch）
椅子に座った状態。片腕を頭の上に挙げている。
挙げた腕の方向と反対側に上体を横に倒している瞬間。
反対の手は椅子の座面を掴んでいる。
視点: 正面から。体側の伸びが分かるように。
赤い矢印: 上体が横に倒れる方向を示す。"
forearm-stretch,"【運動】前腕ストレッチ（Forearm Stretch）
立った状態または座った状態。片腕を前方にまっすぐ伸ばしている。
反対の手で指先を手前に引いて、前腕の伸筋群を伸ばしている瞬間。
手のひらは下向き、指先が下を向くように引かれている。
視点: 横から（側面図）。前腕と手首の角度が分かるように。
赤い矢印: 指先が手前に引かれる方向を示す。"
single-leg-stand,"【運動】片脚立位（Single Leg Stand）
立った状態。片手を壁に軽く添えている。
片脚を床から軽く浮かせて、反対の脚で立っている瞬間。
浮かせた脚の膝は軽く曲げている。体はまっすぐ。
視点: 正面やや斜めから。片脚立位の姿勢が分かるように。
赤い矢印: なし（静的保持のため、支持脚を点線で強調）。"
step-reaction,"【運動】ステップ反応訓練（Step Reaction Training）
立った状態。両足を揃えて立っている。
片脚を前方に素早く一歩踏み出している瞬間。
両手は体の横で軽くバランスを取っている。
視点: 横から（側面図）。ステップの動きが分かるように。
赤い矢印: 足が前方に踏み出す方向を示す。"
weight-shift-ap,"【運動】重心移動訓練・前後（Weight Shift Anteroposterior）
立った状態。足は肩幅に開いている。
体を前方にゆっくり傾けて重心を移動している瞬間。
両手は体の横。壁の近くに立っている。
視点: 横から（側面図）。前方への重心移動が分かるように。
赤い矢印: 体が前方に傾く方向を示す（前後の2本の矢印）。"
weight-shift-lr,"【運動】重心移動訓練・左右（Weight Shift Lateral）
立った状態。足は肩幅より少し広く開いている。
体を右側にゆっくり傾けて重心を移動している瞬間。
両手は腰に当てている。
視点: 正面から。左右への重心移動が分かるように。
赤い矢印: 体が右方向に傾く方向を示す。"
dynamic-reach,"【運動】動的バランス / リーチ訓練（Dynamic Reach）
立った状態。片脚立ちで支持脚の膝を軽く曲げている。
片手を前方にまっすぐ伸ばしてリーチしている瞬間。
反対の脚は後方に伸ばしてバランスを取っている。
視点: 横から（側面図）。前方リーチの動きが分かるように。
赤い矢印: 手が前方に伸びる方向を示す。"
unstable-balance,"【運動】不安定面バランス（Unstable Surface Balance）
青いバランスパッド（クッション状）の上に両足で立っている。
両手は腰に当てて、バランスを保っている瞬間。
体はまっすぐ。壁の近くに立っている。
視点: 正面やや斜めから。バランスパッドの上に立っている様子が分かるように。
赤い矢印: なし（静的保持のため、足元のバランスパッドを強調）。"
gait-forward,"【運動】歩行訓練・前進（Forward Gait Training）
廊下のような場所を歩いている。
右脚を前に踏み出し、左腕を前に振っている瞬間（通常歩行）。
体はまっすぐ、視線は前方。
視点: 横から（側面図）。歩行のフォームが分かるように。
赤い矢印: 進行方向（前方）を示す。"
gait-backward,"【運動】歩行訓練・後退（Backward Gait Training）
立った状態から後方に一歩踏み出している瞬間。
片手を壁や手すりに軽く添えている。視線は前方を向いたまま。
視点: 横から（側面図）。後方への歩行が分かるように。
赤い矢印: 足が後方に踏み出す方向を示す。"
sit-to-stand,"【運動】立ち上がり訓練（Sit to Stand）
椅子から立ち上がる途中の瞬間。お尻が椅子の座面から離れている。
両手は膝の上に置いている。体はやや前傾。
視点: 横から（側面図）。立ち上がり動作の体の傾きが分かるように。
赤い矢印: 体が上方向に持ち上がる方向を示す。
椅子はシンプルなパイプ椅子。"
chair-stand,"【運動】椅子からの立ち座り（Chair Stand）
椅子の前に立った状態から、ゆっくり腰を降ろして座ろうとしている瞬間。
両手は胸の前で交差。膝は足の幅に開いている。
視点: 横から（側面図）。座り込む動作が分かるように。
赤い矢印: 腰が下方向に降りる方向を示す。
椅子はシンプルなパイプ椅子。"
step-up-advanced,"【運動】段差昇降・応用（Advanced Step-Up）
高めの踏み台（青色、高さ約20cm）に片脚を乗せている。
手すりや壁に手を添えず、両手を腰に当てて自力で昇っている瞬間。
視点: 横から（側面図）。段差の高さと脚の動きが分かるように。
赤い矢印: 体が上方向に持ち上がる方向を示す。"
turning,"【運動】方向転換訓練（Turning Training）
立った状態から体を右方向に90度回転している瞬間。
右足を軸にして、左足が回転方向に踏み出している。
視点: 上方やや前方から。回転の動きが分かるように。
赤い矢印: 体が回転する方向を示す（弧を描く矢印）。"
floor-to-stand,"【運動】床からの立ち上がり（Floor to Stand）
床に座った状態から片膝立ちになっている瞬間。
片手を床について、体を持ち上げようとしている。
近くに椅子があり、もう片手で椅子の座面を掴んでいる。
視点: 横から（側面図）。床から立ち上がる過程が分かるように。
赤い矢印: 体が上方向に持ち上がる方向を示す。"
reach-training,"【運動】リーチ動作訓練（Reach Training）
椅子に座った状態。片手を前方の高い棚に向かって伸ばしている瞬間。
体幹を前傾させつつ、手を伸ばしている。
視点: 横から（側面図）。リーチの距離と体の動きが分かるように。
赤い矢印: 手が前方・上方に伸びる方向を示す。
椅子はシンプルなパイプ椅子。"
object-transfer,"【運動】物品移動訓練（Object Transfer Training）
立った状態。テーブルの上に置かれた青い箱を両手で持ち上げている瞬間。
腕を前方に伸ばして箱を持っている。体はまっすぐ。
視点: 横から（側面図）。物品を持ち上げる動作が分かるように。
赤い矢印: 箱が上方向に持ち上がる方向を示す。"
dressing-training,"【運動】着衣動作訓練（Dressing Training）
椅子に座った状態。片脚を反対の膝の上に乗せている。
靴下を履こうとしている瞬間。両手で靴下を持ち、足先に向かって伸ばしている。
視点: 横から（側面図）。体を前屈して靴下に手を伸ばす動作が分かるように。
赤い矢印: 手が足先に向かう方向を示す。
椅子はシンプルなパイプ椅子。"
